model,response_length,key_phrase_count,similarity_score,score,meets_threshold
gemma2:27b,69,3,,28.8,True
gemma2:27b,54,3,,22.8,True
gemma2:27b,68,2,,28.000000000000004,True
gemma2:27b,87,1,,35.2,False
gemma2:27b,98,2,,40.0,True
gemma2:27b,102,3,,42.00000000000001,True
gemma2:27b,77,2,,31.6,True
gemma2:27b,52,3,,22.0,True
gemma2:27b,68,2,,28.000000000000004,True
gemma2:27b,41,3,,17.6,True
gemma2:27b,77,3,,32.0,True
gemma2:27b,73,3,,30.4,True
gemma2:27b,41,3,,17.6,True
gemma2:27b,42,3,,18.0,True
gemma2:27b,124,3,,50.8,True
gemma2:27b,75,2,,30.8,True
gemma2:27b,41,3,,17.6,True
gemma2:27b,57,3,,24.0,True
gemma2:27b,80,3,,33.2,True
gemma2:27b,75,3,,31.2,True
gemma2:27b,68,3,,28.4,True
gemma2:27b,70,3,,29.2,True
gemma2:27b,63,2,,26.000000000000004,True
gemma2:27b,41,2,,17.200000000000003,True
gemma2:27b,44,3,,18.8,True
gemma2:27b,75,2,,30.8,True
gemma2:27b,38,2,,16.0,True
gemma2:27b,87,2,,35.6,True
gemma2:27b,85,3,,35.2,True
gemma2:27b,79,3,,32.800000000000004,True
gemma2:27b,42,2,,17.6,True
gemma2:27b,33,3,,14.400000000000002,True
gemma2:27b,85,2,,34.8,True
gemma2:27b,99,2,,40.4,True
gemma2:27b,122,3,,50.00000000000001,True
gemma2:27b,38,3,,16.400000000000002,True
gemma2:27b,103,2,,42.0,True
gemma2:27b,132,3,,54.00000000000001,True
gemma2:27b,34,3,,14.8,True
gemma2:27b,63,1,,25.6,False
gemma2:27b,34,3,,14.8,True
gemma2:27b,37,3,,16.0,True
gemma2:27b,58,3,,24.4,True
gemma2:27b,52,3,,22.0,True
gemma2:27b,116,3,,47.60000000000001,True
gemma2:27b,106,3,,43.60000000000001,True
gemma2:27b,74,3,,30.8,True
gemma2:27b,72,2,,29.6,True
gemma2:27b,36,3,,15.6,True
gemma2:27b,98,3,,40.400000000000006,True
gemma2:27b,35,3,,15.2,True
gemma2:27b,44,3,,18.8,True
gemma2:27b,92,3,,38.00000000000001,True
gemma2:27b,79,2,,32.4,True
gemma2:27b,83,2,,34.0,True
gemma2:27b,85,3,,35.2,True
gemma2:27b,59,2,,24.4,True
gemma2:27b,60,1,,24.4,False
gemma2:27b,79,3,,32.800000000000004,True
gemma2:27b,54,1,,22.0,False
gemma2:27b,42,2,,17.6,True
gemma2:27b,40,3,,17.2,True
gemma2:27b,58,3,,24.4,True
gemma2:27b,61,2,,25.200000000000003,True
gemma2:27b,32,2,,13.6,True
gemma2:27b,51,2,,21.200000000000003,True
gemma2:27b,42,3,,18.0,True
gemma2:27b,73,3,,30.4,True
gemma2:27b,41,3,,17.6,True
gemma2:27b,73,2,,30.000000000000004,True
gemma2:27b,58,3,,24.4,True
gemma2:27b,82,3,,34.00000000000001,True
