model,prompt,review_index,response_length,key_phrase_count,similarity_score,meets_threshold,score
gemma2:27b,Turn the following review into a concise user story: {review},0,69,3,,True,28.8
gemma2:27b,Turn the following review into a concise user story: {review},1,54,3,,True,22.8
gemma2:27b,Turn the following review into a concise user story: {review},2,68,2,,True,28.000000000000004
gemma2:27b,Turn the following review into a concise user story: {review},3,87,1,,False,35.2
gemma2:27b,Turn the following review into a concise user story: {review},4,98,2,,True,40.0
gemma2:27b,Turn the following review into a concise user story: {review},5,102,3,,True,42.00000000000001
gemma2:27b,Turn the following review into a concise user story: {review},6,77,2,,True,31.6
gemma2:27b,Turn the following review into a concise user story: {review},7,52,3,,True,22.0
gemma2:27b,Turn the following review into a concise user story: {review},8,68,2,,True,28.000000000000004
gemma2:27b,Turn the following review into a concise user story: {review},9,41,3,,True,17.6
gemma2:27b,Turn the following review into a concise user story: {review},10,77,3,,True,32.0
gemma2:27b,Turn the following review into a concise user story: {review},11,73,3,,True,30.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},12,41,3,,True,17.6
gemma2:27b,Turn the following review into a concise user story: {review},13,42,3,,True,18.0
gemma2:27b,Turn the following review into a concise user story: {review},14,124,3,,True,50.800000000000004
gemma2:27b,Turn the following review into a concise user story: {review},15,75,2,,True,30.8
gemma2:27b,Turn the following review into a concise user story: {review},16,41,3,,True,17.6
gemma2:27b,Turn the following review into a concise user story: {review},17,57,3,,True,24.0
gemma2:27b,Turn the following review into a concise user story: {review},18,80,3,,True,33.2
gemma2:27b,Turn the following review into a concise user story: {review},19,75,3,,True,31.2
gemma2:27b,Turn the following review into a concise user story: {review},20,68,3,,True,28.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},21,70,3,,True,29.2
gemma2:27b,Turn the following review into a concise user story: {review},22,63,2,,True,26.000000000000004
gemma2:27b,Turn the following review into a concise user story: {review},23,41,2,,True,17.200000000000003
gemma2:27b,Turn the following review into a concise user story: {review},24,44,3,,True,18.8
